,id,latitude,longitude,time
143,1607864934253944758_5475502749,40.45941,-3.70298,2017-09-20 04:27:38
144,1607864858875144389_3197903355,40.43426,-3.71485,2017-09-20 04:27:29
145,1607864844537662523_4706991037,40.4,-3.68333,2017-09-20 04:27:27
146,1607864839865954228_2023767831,40.4105386,-3.7283862,2017-09-20 04:27:26
147,1607864814867488531_2805073779,40.4,-3.68333,2017-09-20 04:27:23
148,1607864806505449923_215184555,40.40265,-3.70186,2017-09-20 04:27:22
149,1607864733700753805_45870654,40.4,-3.68333,2017-09-20 04:27:14
150,1607864729967967758_400131074,40.4,-3.68333,2017-09-20 04:27:13
151,1607864725587211358_328399013,40.427778655226,-3.6872573012429,2017-09-20 04:27:13
152,1607864664729610523_5671242967,40.4,-3.68333,2017-09-20 04:27:06
153,1607864616526962820_313844900,40.4,-3.68333,2017-09-20 04:27:00
154,1607864581505322085_4291134696,40.456212,-3.702283,2017-09-20 04:26:56
155,1607864508809555804_1328514275,40.42625,-3.71117,2017-09-20 04:26:47
156,1607864497635341171_6064798867,40.4,-3.68333,2017-09-20 04:26:46
157,1607864484155552331_1169823578,40.4,-3.68333,2017-09-20 04:26:44
158,1607864368444021681_5989337122,40.41654,-3.69863,2017-09-20 04:26:30
159,1607864335743607879_2661010865,40.4151461,-3.7068644,2017-09-20 04:26:26
168,1607862577895668102_6519158,40.4,-3.68333,2017-09-20 04:22:57
176,1607895936770932131_4145284367,40.418333,-3.714167,2017-09-20 05:29:14
177,1607895875391477564_2034426827,40.4,-3.68333,2017-09-20 05:29:06
178,1607895840746348516_279714631,40.3910399,-3.73419,2017-09-20 05:29:02
179,1607895799121931393_855908473,40.447649221791,-3.6903977394104,2017-09-20 05:28:57
180,1607895791112097957_256531277,40.4,-3.68333,2017-09-20 05:28:56
181,1607895720243785095_214678222,40.4,-3.68333,2017-09-20 05:28:48
182,1607895706629393341_3167729910,40.41562,-3.70862,2017-09-20 05:28:46
183,1607895701606342747_5969221635,40.4,-3.68333,2017-09-20 05:28:45
184,1607895669561144455_256808333,40.4,-3.68333,2017-09-20 05:28:42
185,1607895650779074879_1456255363,40.37515,-3.70631,2017-09-20 05:28:39
186,1607895608574710986_629222790,40.4,-3.68333,2017-09-20 05:28:34
187,1607895570777036298_3383486,40.41965,-3.70961,2017-09-20 05:28:30
188,1607895461288460192_208629459,40.425817658728,-3.7041707640457,2017-09-20 05:28:17
189,1607895353361155566_27665389,40.424052777778,-3.7177777777778,2017-09-20 05:28:04
190,1607895331349430361_4042816559,40.4,-3.68333,2017-09-20 05:28:01
191,1607895329495875261_209326839,40.40714,-3.68826,2017-09-20 05:28:01
192,1607895328110696960_5957218692,40.4,-3.68333,2017-09-20 05:28:01
193,1607895251498069788_4241171740,40.4,-3.68333,2017-09-20 05:27:52
194,1607895234837057967_1636152761,40.417063727933,-3.7035201752774,2017-09-20 05:27:50
195,1607895208320711843_6043973634,40.4,-3.68333,2017-09-20 05:27:47
196,1607895164204979089_264259790,40.418333,-3.714167,2017-09-20 05:27:41
197,1607895159030575477_2358679,40.42002,-3.70428,2017-09-20 05:27:41
198,1607895149249549487_3248566712,40.452937259887,-3.688770173838,2017-09-20 05:27:40
199,1607895065321394843_5984023709,40.4,-3.68333,2017-09-20 05:27:30
200,1607895014226833572_5585557567,40.439075809353,-3.6892604827881,2017-09-20 05:27:24
201,1607894935884576347_1564527668,40.41776,-3.69861,2017-09-20 05:27:14
202,1607894876962636669_598376344,40.4,-3.68333,2017-09-20 05:27:07
203,1607894818578956870_1483555795,40.41739,-3.69108,2017-09-20 05:27:00
205,1607894768741650777_1625898075,40.415478411,-3.709006293,2017-09-20 05:26:54
206,1607894570745982932_179505444,40.40027778,-3.68305556,2017-09-20 05:26:31
207,1607894539892029375_387543091,40.4,-3.68333,2017-09-20 05:26:27
208,1607894432106113592_1518719143,40.4,-3.68333,2017-09-20 05:26:14
209,1607894422442629140_4658824211,40.4,-3.68333,2017-09-20 05:26:13
210,1607894421848548596_4692980788,40.4,-3.68333,2017-09-20 05:26:13
211,1607894377505758916_4450249034,40.4,-3.68333,2017-09-20 05:26:08
212,1607894261860958525_6046561184,40.4,-3.68333,2017-09-20 05:25:54
214,1607894142128999148_1326718629,40.4,-3.68333,2017-09-20 05:25:40
215,1607894066699479095_257246484,40.426760973591,-3.6982967263031,2017-09-20 05:25:31
222,1607894048488408980_288757825,40.4204099,-3.70159,2017-09-20 05:25:28
224,1607894011912526091_2291866352,40.4156199,-3.7062,2017-09-20 05:25:24
226,1607893971882069506_5814851290,40.4,-3.68333,2017-09-20 05:25:19
227,1607893933193485293_446291472,40.42042,-3.71906,2017-09-20 05:25:15
228,1607893849233757920_5887369402,40.4,-3.68333,2017-09-20 05:25:05
229,1607893771613517461_2769290,40.414366,-3.697593,2017-09-20 05:24:55
231,1607893755289252066_805742475,40.4183004373,-3.70945134997,2017-09-20 05:24:53
233,1607893685202930502_1969891217,40.41654,-3.69863,2017-09-20 05:24:45
236,1607893628594876033_4853013110,40.4,-3.68333,2017-09-20 05:24:38
237,1607893583187272278_1485894504,40.442350295858,-3.7125338917541,2017-09-20 05:24:33
238,1607893478397972484_2020148153,40.4,-3.68333,2017-09-20 05:24:20
239,1607893459111715488_2045258698,40.4159999,-3.69473,2017-09-20 05:24:18
240,1607893390693839851_2030215208,40.405904145,-3.70243519,2017-09-20 05:24:10
241,1607893295283189006_3645111564,40.4296799,-3.68749,2017-09-20 05:23:59
242,1607893140269983859_2074299989,40.428247251848,-3.6925864219666,2017-09-20 05:23:40
243,1607893131662111987_1461297561,40.42211,-3.70313,2017-09-20 05:23:39
245,1607893083169285566_3271387109,40.4,-3.68333,2017-09-20 05:23:33
246,1607893059453281382_1134770701,40.4253799,-3.68512,2017-09-20 05:23:31
247,1607892978150442856_2346856563,40.4,-3.68333,2017-09-20 05:23:21
248,1607892814423526369_285688940,40.4,-3.68333,2017-09-20 05:23:01
249,1607892688593439689_306771701,40.4,-3.68333,2017-09-20 05:22:46
250,1607892670800414021_3554679799,40.4,-3.68333,2017-09-20 05:22:44
251,1607892630704579969_4016577402,40.40184,-3.67331,2017-09-20 05:22:39
254,1607892598517036602_6026484158,40.4,-3.68333,2017-09-20 05:22:36
255,1607892584189689515_350501341,40.440167966615,-3.7310771256232,2017-09-20 05:22:34
256,1607892523187890144_2316428523,40.42,-3.701667,2017-09-20 05:22:27
259,1607892494043864392_344183453,40.43335,-3.67457,2017-09-20 05:22:23
260,1607892451758760938_278547678,40.4,-3.68333,2017-09-20 05:22:18
261,1607892425550881728_258136440,40.4,-3.68333,2017-09-20 05:22:15
262,1607892415720918725_2997606108,40.4,-3.68333,2017-09-20 05:22:14
263,1607892266990282439_1409861128,40.41518889,-3.68198889,2017-09-20 05:21:56
264,1607892239694826651_2990871330,40.43413,-3.71085,2017-09-20 05:21:53
265,1607892212331239938_3404893993,40.4,-3.68333,2017-09-20 05:21:50
266,1607892194537905448_5795128378,40.4,-3.68333,2017-09-20 05:21:47
267,1607892159297340548_2879620965,40.44381,-3.67598,2017-09-20 05:21:43
268,1607892113930869447_1977366154,40.42163,-3.7071,2017-09-20 05:21:38
269,1607892109862763383_5644502414,40.407589,-3.69963,2017-09-20 05:21:37
270,1607892083313937057_5652350137,40.4121,-3.69937,2017-09-20 05:21:34
271,1607892058609364178_404015656,40.42138,-3.70482,2017-09-20 05:21:31
