,id,time,latitude,longitude
316,1607925677607453494_5794104086,2017-09-20 06:28:19,40.374282760457,-3.7424875768579
317,1607925594384209928_5359663995,2017-09-20 06:28:09,40.4,-3.68333
318,1607925573202879914_24325273,2017-09-20 06:28:06,40.41277778,-3.70694444
319,1607925558448776095_53253716,2017-09-20 06:28:05,40.449167,-3.728056
320,1607925495098174075_3219295096,2017-09-20 06:27:57,40.4,-3.68333
321,1607925486279823692_184041919,2017-09-20 06:27:56,40.4,-3.68333
322,1607925469353435484_266315455,2017-09-20 06:27:54,40.42021,-3.71394
323,1607925418969837958_1453565121,2017-09-20 06:27:48,40.38651,-3.74004
324,1607925327509888363_1854265,2017-09-20 06:27:37,40.43498,-3.69239
325,1607925286203508844_1977709650,2017-09-20 06:27:32,40.42237,-3.70962
326,1607925233766798867_442400290,2017-09-20 06:27:26,40.4,-3.68333
327,1607925228650116076_2902023305,2017-09-20 06:27:25,40.392025236306,-3.6976323605438
328,1607925211922947954_1529656310,2017-09-20 06:27:23,40.43525,-3.71368
329,1607925210638861518_4145284367,2017-09-20 06:27:23,40.4,-3.68333
330,1607925208131670976_2243519573,2017-09-20 06:27:23,40.4,-3.68333
331,1607925202778562489_441773073,2017-09-20 06:27:22,40.4140587,-3.70803
332,1607925184969488070_5988153931,2017-09-20 06:27:20,40.4,-3.68333
333,1607925182897648668_4258269196,2017-09-20 06:27:20,40.42815,-3.68242
334,1607925115981496966_303449717,2017-09-20 06:27:12,40.4496899,-3.68898
335,1607925105605085237_26752471,2017-09-20 06:27:11,40.4,-3.68333
336,1607925085003817514_3415207,2017-09-20 06:27:08,40.4,-3.68333
337,1607925022885134148_30661481,2017-09-20 06:27:01,40.417063727933,-3.7035201752774
338,1607925016149490788_183804175,2017-09-20 06:27:00,40.43152,-3.66284
339,1607924986327134079_3806518951,2017-09-20 06:26:56,40.419141937128,-3.670966561849
340,1607924925419416874_1230548230,2017-09-20 06:26:49,40.4,-3.68333
341,1607924909740616729_6060822659,2017-09-20 06:26:47,40.43923,-3.67381
342,1607924894566039293_389642154,2017-09-20 06:26:46,40.409577,-3.670084
343,1607924891695557437_5430977579,2017-09-20 06:26:45,40.4,-3.68333
344,1607924875322137058_3581709223,2017-09-20 06:26:43,40.42852,-3.70323
345,1607924861766619064_835053025,2017-09-20 06:26:42,40.4151461,-3.7068644
346,1607924859426117496_196796271,2017-09-20 06:26:41,40.42374,-3.69592
347,1607924826960376689_1003545124,2017-09-20 06:26:37,40.425622885837,-3.705249734389
348,1607924811642905722_461906579,2017-09-20 06:26:36,40.418017318363,-3.6800980567932
349,1607924758476078291_1579360020,2017-09-20 06:26:29,40.4,-3.68333
350,1607924737747605563_427111254,2017-09-20 06:26:27,40.4,-3.68333
351,1607924693120919747_504481,2017-09-20 06:26:22,40.45,-3.7
352,1607924498613594134_5445572025,2017-09-20 06:25:58,40.43905,-3.73164
353,1607924472425652097_26251714,2017-09-20 06:25:55,40.4183004373,-3.70945134997
354,1607924406927262412_28160585,2017-09-20 06:25:47,40.418,-3.721
358,1607924396700458183_1358715115,2017-09-20 06:25:46,40.41445,-3.7014
359,1607924386709538716_627189174,2017-09-20 06:25:45,40.427659356399,-3.7034572964477
360,1607924367726742034_1512393020,2017-09-20 06:25:43,40.4,-3.68333
361,1607924346672029709_2013490034,2017-09-20 06:25:40,40.41764,-3.70064
362,1607924331084882488_607021035,2017-09-20 06:25:38,40.41416863816,-3.6924807527939
363,1607924273573026963_6055213552,2017-09-20 06:25:32,40.4,-3.68333
364,1607924271651649951_2752153215,2017-09-20 06:25:31,40.42775,-3.70429
365,1607924266559565364_622319411,2017-09-20 06:25:31,40.4,-3.68333
366,1607924260193803156_5353486614,2017-09-20 06:25:30,40.434734734433,-3.6789147456477
367,1607924206983663647_24094818,2017-09-20 06:25:24,40.406721,-3.711636
368,1607924204955311033_559513809,2017-09-20 06:25:23,40.418333,-3.714167
370,1607924194291725999_345881090,2017-09-20 06:25:22,40.38861111,-3.69517778
371,1607924035394563396_1279211523,2017-09-20 06:25:03,40.4242,-3.70057
373,1607924009701598180_32010267,2017-09-20 06:25:00,40.40925,-3.69537
374,1607923988074611680_35449386,2017-09-20 06:24:57,40.4,-3.68333
375,1607923959738949613_4301028971,2017-09-20 06:24:54,40.45869,-3.67297
377,1607923959252041090_3456199825,2017-09-20 06:24:54,40.452937259887,-3.688770173838
378,1607923931619119969_4562960037,2017-09-20 06:24:51,40.4,-3.68333
379,1607923919717531180_226533865,2017-09-20 06:24:49,40.422144241453,-3.704149009822
380,1607923902327510147_213582046,2017-09-20 06:24:47,40.41974,-3.70611
381,1607923840829350586_279116747,2017-09-20 06:24:40,40.418,-3.721
382,1607923779845316817_2782554848,2017-09-20 06:24:33,40.4,-3.68333
383,1607923693198030530_1411736602,2017-09-20 06:24:22,40.40888889,-3.69972222
384,1607923615092089553_1545294472,2017-09-20 06:24:13,40.41052,-3.71204
385,1607923589164309921_236860768,2017-09-20 06:24:10,40.43067,-3.69044
386,1607923578307815303_3631561376,2017-09-20 06:24:09,40.452937259887,-3.688770173838
387,1607923542758223717_6060822659,2017-09-20 06:24:04,40.43923,-3.67381
388,1607923394632020013_1246655576,2017-09-20 06:23:47,40.4,-3.68333
389,1607923375162757328_426525261,2017-09-20 06:23:44,40.4,-3.68333
390,1607923362982293751_270463412,2017-09-20 06:23:43,40.42447,-3.68658
391,1607923355356201818_2930111999,2017-09-20 06:23:42,40.4,-3.68333
392,1607923325862361925_2085201128,2017-09-20 06:23:39,40.42508,-3.68774
393,1607923324611108239_10567131,2017-09-20 06:23:38,40.41764,-3.70064
394,1607923323085156414_1900333884,2017-09-20 06:23:38,40.39369,-3.72292
395,1607923174858382810_3155413524,2017-09-20 06:23:21,40.4,-3.68333
396,1607923149591831709_4625546946,2017-09-20 06:23:18,40.411070579405,-3.6830847771771
398,1607923138889249857_901253506,2017-09-20 06:23:16,40.41971,-3.71148
399,1607923137075694387_228151383,2017-09-20 06:23:16,40.4238118,-3.6719812
400,1607923108856413554_378983669,2017-09-20 06:23:13,40.4,-3.68333
401,1607923099747364850_473760076,2017-09-20 06:23:12,40.4,-3.68333
402,1607923098598055426_4128361409,2017-09-20 06:23:11,40.422726139673,-3.6980366706848
403,1607923096307608890_1900333884,2017-09-20 06:23:11,40.39369,-3.72292
404,1607923045144604625_4309270094,2017-09-20 06:23:05,40.42815,-3.68242
405,1607923028778323916_378311645,2017-09-20 06:23:03,40.42,-3.70361
412,1607956420313918393_200255211,2017-09-20 07:29:24,40.41369,-3.69954
413,1607956359831416405_4139210865,2017-09-20 07:29:17,40.42656,-3.70074
414,1607956350787485776_502500284,2017-09-20 07:29:15,40.4,-3.68333
415,1607956200062529822_4006127705,2017-09-20 07:28:57,40.43149,-3.68194
416,1607956169232590941_5595062427,2017-09-20 07:28:54,40.457627835191,-3.6908616429139
418,1607956115975220115_3204675650,2017-09-20 07:28:47,40.4,-3.68333
419,1607956103702750180_389088553,2017-09-20 07:28:46,40.4158,-3.70667
420,1607956098820471636_14183577,2017-09-20 07:28:45,40.417063727933,-3.7035201752774
421,1607956077277602265_5741443023,2017-09-20 07:28:43,40.4,-3.68333
